name,type,domain,grade,mail_domain,mail_domain_grade,case,contact_email,contact_role,flag,subject,body
Beaufort County Schools,district,beaufort.k12.nc.us,NO_DMARC,beaufort.k12.nc.us,NO_DMARC,same,agodfrey@beaufort.k12.nc.us,Chief Technology Officer,,Beaufort County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Beaufort County Schools:

beaufort.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @beaufort.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.beaufort.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@beaufort.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Cabarrus County Schools,district,cabarrus.k12.nc.us,MONITOR_ONLY,cabarrus.k12.nc.us,MONITOR_ONLY,same,CabCoSchools@cabarrus.k12.nc.us,General contact,,Cabarrus County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Cabarrus County Schools:

cabarrus.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @cabarrus.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.cabarrus.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@cabarrus.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Carteret County Public Schools,district,carteretcountyschools.org,NO_DMARC,carteretk12.org,NO_DMARC,both_bad,mike.mckay@carteretk12.org,Chief Technology Officer,,Carteret County Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Carteret County Public Schools:

Both of your domains are affected. carteretcountyschools.org has no DMARC record at all. And your email domain: carteretk12.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @carteretk12.org or @carteretcountyschools.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.carteretk12.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@carteretk12.org; fo=1

and the same record for carteretcountyschools.org:
  Host:  _dmarc.carteretcountyschools.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@carteretcountyschools.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Chapel Hill-Carrboro City Schools,district,chccs.org,NO_DMARC,chccs.k12.nc.us,ENFORCED_REJECT,mail_ok,sara.anderson@chccs.k12.nc.us,Instructional Technology Facilitator,,Chapel Hill-Carrboro City Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Chapel Hill-Carrboro City Schools:

Good news first: your email domain chccs.k12.nc.us is properly protected (DMARC reject). But chccs.org has no DMARC record at all.

What that means in practice: someone can still send mail that appears to come from an @chccs.org address, which most recipients won't distinguish from your real one. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.chccs.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@chccs.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Davie County Schools,district,davie.k12.nc.us,MONITOR_ONLY,davie.k12.nc.us,MONITOR_ONLY,same,blattnerd@davie.k12.nc.us,Technology Department,,Davie County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Davie County Schools:

davie.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @davie.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.davie.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@davie.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Durham Public Schools,district,dpsnc.net,MONITOR_ONLY,dpsnc.net,MONITOR_ONLY,same,paul_mijumbi@dpsnc.net,"Executive Director of IT, Technology Services",,Durham Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Durham Public Schools:

dpsnc.net has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @dpsnc.net address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.dpsnc.net
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@dpsnc.net; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Edgecombe County Public Schools,district,ecps.us,MONITOR_ONLY,ecps.us,MONITOR_ONLY,same,jhayes@ecps.us,Director of Technology,,Edgecombe County Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Edgecombe County Public Schools:

ecps.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @ecps.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.ecps.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@ecps.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Elizabeth City-Pasquotank Public Schools,district,ecpps.k12.nc.us,NO_DMARC,ecpps.k12.nc.us,NO_DMARC,same,hedmisten@ecpps.k12.nc.us,Technology Services,,Elizabeth City-Pasquotank Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Elizabeth City-Pasquotank Public Schools:

ecpps.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @ecpps.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.ecpps.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@ecpps.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Elkin City Schools,district,elkin.k12.nc.us,NO_DMARC,elkin.k12.nc.us,NO_DMARC,same,shawb@elkin.k12.nc.us,Chief Technology Officer,,Elkin City Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Elkin City Schools:

elkin.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @elkin.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.elkin.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@elkin.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Gaston County Schools,district,gaston.k12.nc.us,MONITOR_ONLY,gaston.k12.nc.us,MONITOR_ONLY,same,cpoplin@gaston.k12.nc.us,Technology Department,,Gaston County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Gaston County Schools:

gaston.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @gaston.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.gaston.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@gaston.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
